Ingredient,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Unit,Quantity
Ghee,112,0,0,12.7,0,0,0,0,0,0,0,tbsp,1
Olive Oil,119,0,0,13.5,0,0,0,0,0,0,0,tbsp,1
Coconut Oil,117,0,0,13.6,0,0,0,0,0,0,0,tbsp,1
Butter,102,0,0.1,11.5,0,0,82,3,0,0,0,tbsp,1
Spinach,23,3.6,2.9,0.4,0.4,2.2,79,99,2.7,28,194,cup,1
Tomato,22,4.8,1.1,0.2,3.2,1.5,6,10,0.3,14,15,medium,1
Onion,44,10.3,1.2,0.1,4.7,1.9,4,23,0.2,6,19,medium,1
Garlic,149,33,6.4,0.5,1,2.1,17,181,1.7,31,3,100g,100
Ginger,80,18,1.8,0.8,1.7,2,13,16,0.6,5,11,100g,100
Green Chilli,40,9,2,0.4,5.1,1.5,7,14,1,243,23,100g,100
Paneer,265,3.6,18.3,20.8,0,0,28,480,0.2,0,7,100g,100
Chicken Breast,165,0,31,3.6,0,0,74,15,1,0,4,100g,100
Basmati Rice,210,46,4.4,0.5,0,0.6,0,10,0.4,0,8,cup,1
Whole Wheat Flour,180,38,7,1,0,6,2,34,2,0,45,cup,1
